season,river_size,fluid_velocity ,pH,Oxygen,Chloride,Nitrates,Ammonium,Orthophosphate,Phosphate,Chlorophyll
winter,small,medium,8,9.8,60.8,6.24,578,105,170,50
spring,small,medium,8.35,8,57.75,1.29,370,428.75,558.75,1.3
autumn,small,medium,8.1,11.4,40.02,5.33,346.67,125.67,187.06,15.6
spring,small,medium,8.07,4.8,77.36,2.3,98.18,61.18,138.7,1.4
autumn,small,medium,8.06,9,55.35,10.42,233.7,58.22,97.58,10.5
winter,small,high,8.25,13.1,65.75,9.25,430,18.25,56.67,28.4
summer,small,high,8.15,10.3,73.25,1.54,110,61.25,111.75,3.2
autumn,small,high,8.05,10.6,59.07,4.99,205.67,44.67,77.43,6.9
winter,small,medium,8.7,3.4,21.95,0.89,102.75,36.3,71,5.54
winter,small,high,7.93,9.9,8,1.39,5.8,27.25,46.6,0.8
spring,small,high,7.7,10.2,8,1.53,21.57,12.75,20.75,0.8
summer,small,high,7.45,11.7,8.69,1.59,18.43,10.67,19,0.6
winter,small,high,7.74,9.6,5,1.22,27.29,12,17,41
summer,small,high,7.72,11.8,6.3,1.47,8,16,15,0.5
winter,small,high,7.9,9.6,3,1.45,46.2,13,61.6,0.3
autumn,small,high,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1
winter,small,high,7.78,12,7,1.42,34.33,18.67,50,1.1
spring,small,high,7.61,9.8,7,1.44,31.33,20,57.83,0.4
summer,small,high,7.35,10.4,7,1.72,49,41.5,61.5,0.8
spring,small,medium,7.79,3.2,64,2.82,564.6,771.6,4.5,0
winter,small,medium,7.83,10.7,88,4.82,467.5,586,16,0
spring,small,high,7.2,9.2,0.8,0.64,81,15.6,18,0.5
autumn,small,high,7.75,10.3,32.92,2.94,42,16,40,7.6
winter,small,high,7.62,8.5,11.87,1.72,208.33,3,27.5,1.7
spring,small,high,7.84,9.4,10.98,1.51,12.5,3,11.5,1.5
summer,small,high,7.77,10.7,12.54,3.98,58.5,9,44.14,3
winter,small,high,7.09,8.4,10.5,1.57,28,4,13.6,0.5
autumn,small,high,6.8,11.1,9,0.63,20,4,,2.7
winter,small,high,8,9.8,16,0.73,20,26,45,0.8
spring,small,high,7.2,11.3,9,0.23,120,12,19,0.5
autumn,small,high,7.4,12.5,13,3.33,60,72,142,4.9
winter,small,high,8.1,10.3,26,3.78,60,246,304,2.8
summer,small,high,7.8,11.3,20.08,3.02,49.5,53,130.75,5.8
autumn,small,medium,8.4,9.9,34.5,2.82,20,47,2.3,13.6
winter,small,medium,8.27,7.8,29.2,0.05,7.4,23,0.9,5.3
summer,small,medium,8.66,8.4,30.52,3.44,58.88,84.46,3.6,18.3
winter,small,high,8.3,10.9,1.17,0.74,13.5,1.63,3,0.2
spring,small,high,8,,1.45,0.81,10,2.5,3,0.3
winter,small,medium,8.3,8.9,20.63,3.41,228.75,196.62,253.25,12.32
spring,small,medium,8.1,10.5,22.29,4.07,178.57,182.42,255.28,8.96
winter,small,medium,8,5.5,77,6.1,122.85,143.71,296,3.7
summer,small,medium,8.15,7.1,54.19,3.83,647.57,59.43,175.05,13.2
winter,small,high,8.3,7.7,50,8.54,76,264.9,344.6,22.5
spring,small,high,8.3,8.8,54.14,7.83,51.43,276.85,326.86,11.84
winter,small,high,8.4,13.4,69.75,4.56,37.5,10,40.67,3.9
spring,small,high,8.3,12.5,87,4.87,22.5,27,43.5,3.3
autumn,small,high,8,12.1,66.3,4.54,39,16,39,0.8
winter,small,low,,12.6,9,0.23,10,5,6,1.1
spring,small,medium,7.6,9.6,15,3.02,40,27,121,2.8
autumn,small,medium,7.29,11.21,17.75,3.07,35,13,20.81,12.1
winter,small,medium,7.6,10.2,32.3,4.51,192.5,12.75,49.33,7.9
summer,small,medium,8,7.9,27.23,1.65,28.33,7.3,22.9,4.5
winter,small,high,7.9,11,6.17,1.17,18.33,7.75,11.8,0.5
spring,small,high,7.9,9,5.27,0.91,33.64,9,11.82,0.8
winter,small,high,6.6,10.8,,3.25,10,1,6.5,
spring,small,medium,5.6,11.8,,2.22,5,1,1,
autumn,small,medium,5.7,10.8,,2.55,10,1,4,
spring,small,high,6.6,9.5,,1.32,20,1,6,
summer,small,high,6.6,10.8,,2.64,10,2,11,
autumn,small,medium,6.6,11.3,,4.17,10,1,6,
spring,small,medium,6.5,10.4,,5.97,10,2,14,
summer,small,medium,6.4,,,,,,14,
autumn,small,high,7.83,11.7,4.08,1.33,18,3.33,6.67,
spring,small,high,7.57,10.8,4.58,1.2,27.5,2,6.75,1
summer,small,high,7.19,11.7,4.33,1.47,160,2.5,7.2,0.3
winter,small,high,7.44,10.1,2.93,0.77,15,1.33,6,0.6
spring,small,high,7.14,9.8,3.28,0.92,15,1.25,10.75,2.5
summer,small,high,7,12.1,3.14,1.21,16.2,1.8,2.5,0.5
winter,small,medium,7.5,1.5,32.4,0.92,220.75,351.6,10,0
spring,small,medium,7.5,1.8,29.78,1.05,209.86,313.6,1,1.9
summer,small,medium,7.8,7.1,32.54,1.72,151.13,279.07,13.1,25.5
autumn,medium,medium,8.5,8.1,38.13,3.85,225,45,152.33,5.2
summer,medium,medium,7.93,10.2,34.04,9.08,109,55,58.62,11.6
winter,medium,medium,8.1,8.1,136,3.77,245,136.75,249.25,20.87
spring,medium,medium,8.2,6.8,129.38,3.32,271.25,100,233.5,13
spring,medium,high,9.1,9.4,35.75,5.16,32.5,85.5,215.5,18.37
autumn,medium,medium,8.1,9.8,29.5,1.29,224.29,25.17,102.33,3.6
winter,medium,medium,8,5.9,27.4,0.74,133.64,36,105.73,3
spring,medium,medium,8,3.3,26.76,0.66,165,37.38,111.38,3
winter,medium,high,7.5,9.2,11,3.31,101,26.6,108,1.3
spring,medium,high,7.4,9.8,11,3.24,255,38.75,56.67,2
autumn,medium,high,7.3,11.7,10.4,4.93,130,10.8,60,4.3
winter,medium,high,7.4,8.9,13.5,5.44,123.33,27.67,104,21
summer,medium,high,7.4,11.17,12.15,6.19,89.6,32,69.93,3.1
autumn,medium,medium,7.5,10.8,31,4.41,737.5,111.25,214,2.9
winter,medium,medium,7.6,6,53,3.73,914,137.6,254.6,4.3
summer,medium,medium,7.4,10.77,36.25,3.73,429.2,57.6,169,3.2
winter,medium,medium,7.8,3.6,48.67,4.03,412.33,607.17,4.3,0
summer,medium,medium,7.6,9.7,53.1,7.16,282.17,624.73,6.8,0
winter,medium,medium,8.5,8.6,125.6,3.78,124.17,197.83,303.33,40
spring,medium,medium,8.7,9.4,173.75,3.32,101.25,267.75,391.75,3.5
summer,medium,medium,8.1,10.7,94.41,4.7,153,191.75,265.25,7.3
winter,medium,high,8.8,8.5,53.33,5.13,96.67,120.5,232.83,31
spring,medium,high,7.8,10.5,70,2.44,98.33,144.67,244,9
summer,medium,high,7.9,11.8,63.51,4.94,137,159.5,218,6.5
autumn,medium,low,8.5,10.5,56.72,0.33,215.71,23,138.5,20.83
winter,medium,low,9.1,5.4,61.05,0.31,105.56,104.22,239,72.48
spring,medium,low,8.9,4.5,57.75,0.27,155,97.33,235.67,98.82
winter,medium,high,7.9,6.3,101.88,3.98,153.75,51.75,205.88,2
summer,medium,high,7.8,8.2,85.98,6.2,421.67,31.33,211.67,21.9
winter,medium,medium,7.7,7.1,63.63,3.14,122.5,28.63,186.5,30
spring,medium,medium,7.8,6.5,82.11,2.6,215.56,12.89,154.13,5.2
winter,medium,low,7.7,5.3,65.33,2.9,371.11,51.11,183.67,17.2
summer,medium,low,7.5,8.8,58.33,8.69,758.75,104.5,292.63,3
autumn,medium,low,7.6,10,49.63,5.46,308.75,38.63,285.71,75
winter,medium,low,8.7,7.4,47.78,2.32,38.11,24.67,201.78,3
summer,medium,low,7.7,11.1,47.23,8.76,239,54,275.14,65.7
autumn,medium,high,8.3,11.1,41.5,4.67,931.83,39,124.2,13.1
winter,medium,high,8.43,6,40.17,2.67,723.67,60.83,141.83,25
summer,medium,high,8.16,11.1,32.06,5.69,461.88,71,132.55,15
winter,medium,high,8.7,9.8,5.89,1.53,51.11,9.67,17.33,1
spring,medium,high,8.2,11.3,7.25,1.88,25,6.5,26,0.3
summer,medium,high,8.5,11.8,7.84,1.73,206.54,8.69,16.66,2.1
spring,medium,medium,7.8,6,53.43,0.38,118.57,37.86,102.57,1.2
summer,medium,medium,8,9.7,57.85,0.46,217.75,37,87,3
winter,medium,high,9.7,10.8,0.22,0.41,10,22.44,10.11,
summer,medium,high,8.6,11.62,1.55,0.45,25.83,16.83,18.29,1.4
autumn,medium,medium,8.3,11.6,5.83,0.7,12.73,3.55,13.2,3.2
spring,medium,low,8.4,5.3,74.67,3.9,131.67,261.6,432.91,24.92
summer,medium,low,8.2,6.6,131.4,4.19,92,238.2,320.4,6.8
winter,medium,medium,8.2,9.4,45.27,7.2,345.45,144,287,9.88
spring,medium,medium,8.1,7.1,42.64,5.08,56.36,166.73,262.73,17.2
summer,medium,medium,8.1,9,48.43,6.64,128.57,181,222.29,6.43
winter,medium,high,7.4,10.7,11.82,2.16,170.91,36.91,122,5.56
spring,medium,high,8.3,9.7,10.56,1.92,65.56,61.56,127.22,5.23
summer,medium,high,8.6,10.7,12,2.23,43.75,62.63,89.63,2.15
winter,medium,medium,9.1,11.6,31.09,5.1,246.36,55,284,88.26
spring,medium,medium,9,6.9,28.33,2.95,76.67,102.33,277.33,110.46
summer,medium,medium,8.3,10,30.13,3.73,102.5,75.88,177.63,50.23
winter,medium,high,8.5,10.1,10.94,1.34,236,34.64,72.9,11.1
spring,medium,high,8.3,7.7,10.08,1.21,103.33,48.67,82.44,2
summer,medium,high,7.3,10.5,11.09,1.37,92.38,48.63,66.75,3.3
winter,medium,medium,7.9,9.8,194.75,6.51,23,173.75,15.3,0
spring,medium,medium,7.9,8.3,391.5,6.05,380,173,317,5.5
autumn,medium,medium,8,11.9,130.67,6.54,196,75,84,4.5
spring,medium,medium,8,9.2,39,4.86,120,187,213,2
autumn,medium,medium,8.1,11.7,35.66,5.13,46.5,49,88.5,2.5
winter,medium,low,8.43,9.9,37.6,0.83,124,32.5,115,11.7
summer,medium,low,8.1,6.2,39,0.67,112.86,60,98.14,2
winter,medium,medium,7.9,11.2,49.9,9.77,505,67.5,143.75,5.45
summer,medium,medium,8.1,6.2,51.11,5.1,175,132.5,197.14,6.4
spring,medium,high,7.8,9.5,8.3,1.67,34,16.8,35.2,1
autumn,medium,high,7.9,10.5,10.21,2.3,132.25,10.58,23.49,2
winter,medium,low,8,4.5,79.08,8.98,920,70,200.23,19.4
spring,medium,low,7.6,6.3,81.33,9.72,196.67,77.33,147.83,3
autumn,medium,low,7.8,6.5,64.09,7.74,47.5,276,8.1,6.5
winter,medium,high,8.22,8.1,41.25,1.42,172.5,46.67,123.33,30.4
autumn,medium,high,8.3,9.9,40.23,1.59,235,33.8,75.21,23.8
winter,medium,high,8.47,9,46.17,2.1,84.67,48,116.2,7.3
spring,medium,high,8.4,4.9,47,0.54,91.83,109,188.67,32
autumn,medium,high,8.87,11,41.16,2.27,54.75,39,72.7,22.7
summer,medium,high,7.7,4.4,53,2.31,90,22.2,116.2,16
autumn,medium,high,7.3,11.8,44.21,45.65,44,34,53.1,2.2
spring,medium,medium,7.9,6,127.83,2.68,176.67,27.5,76.33,2.1
autumn,medium,medium,7.8,10.53,100.83,5.41,486.5,24,58.37,27.5
spring,large,low,7.8,3.2,94,4.91,175.67,361,28.57,24.8
summer,large,low,7.6,4.9,69,3.68,234.5,236,22.5,32.5
spring,large,low,8.6,3.6,50,0.38,134,54.1,125.8,26.8
autumn,large,low,8.4,10.6,19.22,1.66,96.83,20.67,54.92,20.6
winter,large,low,8.3,11.5,26,1.87,62.5,30.75,75.33,34.75
spring,large,low,9,5.8,,0.9,142,102,186,68.05
spring,large,low,9.5,5.7,44,0.1,146.67,151.33,252.5,93.68
summer,large,low,8.8,8.8,43,0.13,103.33,180.67,269.67,92.67
autumn,large,low,8.84,12.9,43.09,0.85,52.2,8.6,46.44,81.54
winter,large,high,7.3,9.9,16,4.82,101.67,14.67,85,2
autumn,large,high,7.4,10.68,22.35,5.41,244.6,66.4,171.27,3.8
spring,large,low,9.1,4.3,82.86,0.86,137.27,102.36,232.9,54.37
autumn,large,low,8.53,11.1,63.29,1.73,227.6,84.3,146.45,21.22
winter,large,low,8.56,8.7,43.97,4.05,643,221.9,246.67,14.7
autumn,large,low,8.06,8.3,38.9,3.68,627.27,205.64,219.91,6.21
winter,large,medium,8.24,6.1,95.37,3.56,236.4,272.22,20.58,2.5
summer,large,medium,7.91,6.2,151.83,3.92,346.17,388.17,5.08,1.7
winter,large,medium,8.21,9.3,104.82,3.91,124.36,82.22,167.9,5.61
spring,large,medium,8.5,7.3,71.44,2.51,66.67,64.39,137.78,9.38
spring,large,medium,8.6,10.6,208.36,4.46,197.91,87.33,194.1,27.62
winter,large,medium,9.06,6.35,187.18,3.35,54.78,159.17,221.28,20.8
autumn,large,high,8.7,10.7,4.55,0.94,32.73,16,21.3,1.1
spring,large,high,8.1,10.7,3.5,1.01,12.5,12.75,11,0.6
summer,large,high,8.4,10.29,5.33,1,53.85,7.67,14.35,0.8
spring,large,medium,8.6,10.1,2.11,0.66,11.11,3.22,7,1.3
summer,large,medium,8.2,9.5,2.2,0.67,10,3.8,6.2,0.8
winter,large,medium,8.5,10.5,2.75,0.76,10.5,4,7.65,4
summer,large,medium,8.3,10,3.86,0.87,32,6,16,2.86
winter,large,high,8,10.9,9.06,0.83,40,21.08,56.09,
summer,large,high,8.1,10.2,7.61,0.7,32.5,26.63,52.88,2
winter,large,low,8.7,10.8,39.11,6.23,161.82,104.73,228.36,46.08
winter,large,low,8.7,11.7,22.46,3.77,88.18,41.3,85.4,17.49
summer,large,low,8.4,8.2,23.25,2.81,43.75,51.13,87.13,14.78
autumn,large,low,8.55,11,22.32,3.14,82.1,45.9,101.46,18.33
spring,large,medium,8.5,7.6,12.78,1.87,17.78,50.89,127,24.56
autumn,large,medium,8.7,11.4,15.54,2.32,103,34.5,81.56,5.62
winter,large,medium,8.4,10.5,12.18,1.52,65.46,19.73,50.46,8.16
spring,large,medium,8.2,8.2,7.33,1,37.78,19.11,120.89,5.11
autumn,large,medium,8.58,11.1,23.83,3.62,72.6,51.11,91.11,22.9
summer,large,medium,8.5,7.9,12.44,2.59,96.67,19.11,61.44,6.17
autumn,large,medium,8.4,8.4,17.38,3.83,83.75,53.63,79.75,2.34
spring,large,medium,8.3,10.6,14.32,3.2,125.33,35.33,75.9,4.67
autumn,large,medium,8.2,7,139.99,2.98,60.11,78.33,140.22,31.74
winter,large,medium,8,7.6,,,,,,
summer,large,medium,8.5,6.7,82.85,2.8,27.07,64,140.52,18.3